STP_POS,LV_ACT
5.437000275,0.163827136
11.27300072,0.163697392
16.69000053,0.162526399
16.64300156,0.164281845
15.55600071,0.165702194
14.93700027,0.163401023
13.39600086,0.162824526
13.39900017,0.164036304
13.41500092,0.15995948
13.42500019,0.158471167
13.42900085,0.164433926
13.427001,0.166633934
13.427001,0.162888959
13.38500023,0.161738917
13.3760004,0.157563627
13.37700081,0.163512424
13.37700081,0.161954701
13.37700081,0.163940549
13.37700081,0.162490055
13.37700081,0.16383481
13.37700081,0.159110337
13.37700081,0.163202167
13.37700081,0.161866277
13.37700081,0.164314538
13.37700081,0.167455271
13.37700081,0.163954079
13.37700081,0.159455895
13.37700081,0.161316276
13.37700081,0.167071447
13.37700081,0.165842816
13.37700081,0.162848026
13.37700081,0.162966013
13.3760004,0.156585217
13.3760004,0.157940015
13.37700081,0.160141647
13.37700081,0.160351604
13.38500023,0.161250293
14.11700058,0.164887518
14.11300087,0.159860522
14.11200047,0.161175132
14.91900063,0.162386239
14.91900063,0.161683291
14.91800117,0.162344202
14.91900063,0.16070722
14.91900063,0.190789878
14.91800117,0.16959554
14.91800117,0.412163168
14.91800117,1.674968004
14.91700077,1.578403354
14.91700077,1.978445292
14.91700077,0.908413053
14.91700077,1.02957499
14.91700077,0.793472946
14.91900063,0.857637405
15.61600113,0.341132283
15.61600113,0.237197533
15.61600113,0.663819015
15.61600113,0.412690729
15.61600113,0.855140328
15.61600113,1.096514702
16.05600166,1.179899096
16.06100082,1.80366683
16.06100082,1.169545889
16.06100082,0.683209896
16.06200027,0.978027105
16.06200027,0.868991733
16.06300163,0.755391479
16.47200012,0.862356424
16.49000168,0.605576515
16.49100113,2.044392586
16.49200058,2.459549427
16.49100113,3.734482527
16.49200058,3.163992167
16.49200058,2.719056845
16.49200058,5.504817963
16.49200058,5.488008499
16.49200058,5.070645809
16.49200058,5.519426823
16.49300003,6.110627651
16.49300003,4.946652889
16.49300003,5.135743618
16.49400139,8.068350792
16.50699997,6.995196819
16.5170002,7.262831688
16.59200096,8.562269211
17.21900177,9.768212318
17.21600151,9.547177315
17.21600151,10.35426903
17.21600151,11.84202957
17.21600151,12.10792732
17.21700096,12.02246666
17.21800041,12.09654713
17.22000122,8.982129097
17.22200012,8.675897598
17.22300148,11.52234173
17.29300117,12.26961422
17.31300163,11.41368103
17.35100174,10.59164906
17.59800148,10.06245899
17.59800148,11.17194557
17.74900055,12.35458565
17.7650013,13.47917557
17.81300163,12.02256203
18.93400002,11.5176096
20.09900093,12.52752876
20.05600166,13.53845024
19.94900131,15.25399876
19.83100128,17.11170769
19.81000137,17.25505447
19.79400063,16.44901657
19.79300117,18.3639698
19.79200172,19.81011391
19.79200172,20.10257149
19.79200172,20.41645622
19.79200172,19.62653923
19.79200172,20.73483086
19.79200172,22.8559761
19.79300117,23.91633987
19.79700089,24.76996613
19.79700089,24.33386993
19.79700089,24.01305962
19.79800034,23.7602787
19.79800034,24.00600052
19.80200005,25.20494461
19.80200005,25.98213196
19.80400085,26.37690544
19.80600166,26.4801693
19.81200027,26.78800774
19.81500053,27.72389412
19.82500076,27.80511856
19.83600044,28.4220562
19.85000038,29.73313141
20.04000092,30.20443153
20.11200142,29.96051979
20.11400032,29.39920616
20.11900139,30.03347778
20.1570015,31.26660156
20.16100121,31.81780624
20.16400146,32.12127304
20.18700027,31.40787888
20.32300186,31.33860588
20.32500076,31.59820175
20.32600021,32.00181198
20.32500076,32.87555313
20.32600021,34.34206009
20.32600021,35.08174896
20.32700157,35.01528931
20.32800102,35.9396286
20.33000183,36.37371063
20.33000183,36.00662613
20.33000183,36.93722534
20.36500168,37.42261887
20.91700172,38.04081726
20.91700172,38.89297867
20.91800117,39.27342987
20.91800117,40.27797699
21.03300095,40.14036179
21.41300011,39.60560989
21.41400146,41.48437881
21.41600037,42.64728928
21.41700172,43.11799622
21.41800117,43.88186646
21.41800117,44.24055862
21.41900063,44.91359711
21.42500114,45.54545975
21.79800034,46.78287888
22.09400177,46.64835739
22.09600067,46.63084412
22.09600067,47.59791183
22.09700012,48.27528381
22.09800148,49.53108215
22.12600136,50.3575058
22.27400017,50.87205124
22.28000069,51.65458298
22.28100014,51.71796417
22.30800056,53.11257935
22.31600189,53.81710052
22.3220005,54.93127823
22.33000183,55.85765839
22.34300041,55.60160446
22.34400177,55.41041946
22.34400177,54.6957016
22.34500122,54.51195145
22.34500122,54.75729752
22.34500122,55.21064758
22.34500122,56.21838379
22.854002,56.62113571
22.86900139,57.18435287
22.86900139,58.02403641
22.86800194,58.82666016
22.86900139,59.83866882
22.86900139,60.59936523
22.86900139,61.72444153
